,title,description,genre,reated_genre,year,thumbnail,url
0,Mob Psycho 100,"
    A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.",action,"
Animation Action Comedy            ",(2016– ),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt5897304/
1,The Boondocks,"
    Adventures of two boys, Riley and Huey Freeman, who undergo a culture clash when they move from Chicago to the suburbs to live with their grandfather.",action,"
Animation Action Comedy            ",(2005–2014),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0373732/
2,Friday Night Lights,"
    Based on H.G. Bissinger's book, which profiled the economically depressed town of Odessa, Texas and their heroic high school football team, The Permian High Panthers.",action,"
Action Drama Sport            ",(2004),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0390022/
3,Power Rangers,"
    A group of high-school students, who are infused with unique superpowers, harness their abilities in order to save the world.",action,"
Action Adventure Sci-Fi            ",(2017),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt3717490/
4,"Walker, Texas Ranger","
    Walker and his partner Trivette are Texas Rangers. They make it their business to battle crime in Dallas and all around the Great State of Texas.",action,"
Action Adventure Crime            ",(1993–2001),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0106168/
5,End of Watch,"
    Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves.",action,"
Action Crime Drama            ",(2012),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt1855199/
6,Air Force One,"
    Communist Radicals hijack Air Force One with The U.S. President and his family on board. The Vice President negotiates from Washington D.C., while the President, a Veteran, fights to rescue the hostages on board.",action,"
Action Drama Thriller            ",(1997),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0118571/
7,Rise of the Planet of the Apes,"
    A substance designed to help the brain repair itself gives advanced intelligence to a chimpanzee who leads an ape uprising.",action,"
Action Drama Sci-Fi            ",(2011),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt1318514/
8,Akira,"
    A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics.",action,"
Animation Action Sci-Fi            ",(1988),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0094625/
9,Hotel Artemis,"
    Set in riot-torn, near-future Los Angeles, 'Hotel Artemis' follows the Nurse, who runs a secret, members-only emergency room for criminals.",action,"
Action Crime Drama            ",(2018),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt5834262/
10,Kenpû Denki Berserk,"
    Guts is a skilled swordsman who joins forces with a mercenary group named 'The Band of the Hawk', lead by the charismatic Griffith, and fights with them as they battle their way into the royal court.",action,"
Animation Action Adventure            ",(1997–1998),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0318871/
11,Mighty Morphin Power Rangers,"
    A team of teenagers with attitude are recruited to save Angel Grove from the evil witch, Rita Repulsa, and later, Lord Zedd, Emperor of all he sees, and their horde of monsters.",action,"
Action Adventure Family            ",(1993–1996),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0106064/
12,Conan the Destroyer,"
    Conan leads a ragtag group of adventurers on a quest for a princess.",action,"
Action Adventure Fantasy            ",(1984),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0087078/
13,Dawn of the Planet of the Apes,"
    A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier.",action,"
Action Adventure Drama            ",(2014),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt2103281/
14,The League of Extraordinary Gentlemen,"
    In an alternate Victorian Age world, a group of famous contemporary fantasy, science fiction, and adventure characters team up on a secret mission.",action,"
Action Adventure Fantasy            ",(2003),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0311429/
15,Jack Reacher: Never Go Back,"
    Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name while on the run as a fugitive from the law.",action,"
Action Thriller            ",(2016),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt3393786/
16,Sahara,"
    Master explorer Dirk Pitt goes on the adventure of a lifetime of seeking out a lost Civil War battleship known as the ""Ship of Death"" in the deserts of West Africa while helping a WHO doctor being hounded by a ruthless dictator.",action,"
Action Adventure Comedy            ",(2005),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0318649/
17,Harriet,"
    The extraordinary tale of Harriet Tubman's escape from slavery and transformation into one of America's greatest heroes, whose courage, ingenuity, and tenacity freed hundreds of slaves and changed the course of history.",action,"
Action Biography Drama            ",(I) (2019),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt4648786/
18,Die Hard: With a Vengeance,"
    John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building.",action,"
Action Adventure Thriller            ",(1995),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0112864/
19,Terminator 3: Rise of the Machines,"
    A machine from a post-apocalyptic future travels back in time to protect a man and a woman from an advanced robotic assassin to ensure they both survive a nuclear attack.",action,"
Action Sci-Fi            ",(2003),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0181852/
20,12 Strong,"
    12 Strong tells the story of the first Special Forces team deployed to Afghanistan after 9/11; under the leadership of a new captain, the team must work with an Afghan warlord to take down the Taliban.",action,"
Action Drama History            ",(2018),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt1413492/
21,Emergency!,"
    The crew of Los Angeles County Fire Department Station 51, particularly the paramedic team, and Rampart Hospital respond to emergencies in their operating area.",action,"
Action Adventure Comedy            ",(1972–1979),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0068067/
22,John Wick: Chapter 4,"
    The continuing adventures of assassin John Wick.",action,"
Action Crime Thriller            ",(2022),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt10366206/
23,#Saraitda,"
    The rapid spread of an unknown infection has left an entire city in ungovernable chaos, but one survivor remains alive in isolation. It is his story.",action,"
Action Drama Horror            ",(2020),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt10620868/
24,Aquaman 2,"
    Plot unknown. Sequel to the 2018 film 'Aquaman.'",action,"
Action Sci-Fi            ",(2022),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt9663764/
25,Logan's Run,"
    A police officer in the future uncovers the deadly secret behind a society that worships youth.",action,"
Action Adventure Sci-Fi            ",(1976),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0074812/
26,Mission: Impossible,"
    An elite covert operations unit carries out highly sensitive missions subject to official denial in the event of failure, death or capture.",action,"
Action Adventure Crime            ",(1966–1973),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0060009/
27,Scott Pilgrim vs. the World Water Crisis,"
    A majority of the Scott Pilgrim cast reunite for a read through of the screenplay on behalf of Water for People.",action,"
Action Comedy Fantasy            ",(2020 Video),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt12744636/
28,Species,"
    A group of scientists try to track down and trap a killer alien seductress before she successfully mates with a human.",action,"
Action Horror Sci-Fi            ",(1995),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0114508/
29,Hannibal Rising,"
    After the death of his parents during World War II, young Hannibal Lecter moves in with his beautiful aunt and begins plotting revenge on the barbarians responsible for his sister's death.",action,"
Action Adventure Crime            ",(2007),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0367959/
30,Deep Blue Sea,"
    Searching for a cure to Alzheimer's disease, a group of scientists on an isolated research facility become the prey, as a trio of intelligent sharks fight back.",action,"
Action Adventure Sci-Fi            ",(1999),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0149261/
31,Cyberpunk 2077,"
    In Night City, a mercenary known as V navigates a dystopian society in which the line between humanity and technology becomes blurred.",action,"
Action Adventure Crime            ",(2020 Video Game),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt3810192/
32,Mechanic: Resurrection,"
    Bishop's most formidable foe kidnaps the love of his life in order to make him complete three impossible assassinations and make them look like accidents.",action,"
Action Adventure Crime            ",(2016),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt3522806/
33,Faster,"
    An ex-con gets on a series of apparently unrelated killings. He gets tracked by a veteran cop with secrets of his own and an egocentric hit man.",action,"
Action Crime Drama            ",(2010),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt1433108/
34,The Program,"
    Several players from different backgrounds try to cope with the pressures of playing football at a major university. Each deals with the pressure differently, some turn to drinking, others to drugs, and some to studying.",action,"
Action Drama Romance            ",(1993),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0107889/
35,Fairy Tail: Fearî teiru,"
    Lucy, an aspiring Celestial Wizard, becomes a friend and ally to powerful wizards Natsu, Gray, and Erza, who are part of the (in)famous wizard guild, Fairy Tail.",action,"
Animation Action Adventure            ",(2009–2019),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt1528406/
36,Layer Cake,"
    A successful cocaine dealer gets two tough assignments from his boss on the eve of his planned early retirement.",action,"
Action Crime Drama            ",(2004),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0375912/
37,The Protector,"
    Discovering his ties to a secret ancient order, a young man living in modern Istanbul embarks on a quest to save the city from an immortal enemy.",action,"
Action Fantasy Sci-Fi            ",(2018–2020),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt7668518/
38,Code 8,"
    A super-powered construction worker falls in with a group of criminals in order to raise the funds to help his ill mother.",action,"
Action Crime Drama            ",(2019),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt6259380/
39,Point Break,"
    A young FBI agent infiltrates an extraordinary team of extreme sports athletes he suspects of masterminding a string of unprecedented, sophisticated corporate heists.",action,"
Action Adventure Crime            ",(2015),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt2058673/
40,Blues Brothers 2000,"
    Elwood must reunite the old band, with a few new members, and go on another ""Mission from God.""",action,"
Action Comedy Crime            ",(1998),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0118747/
41,Streets of Fire,"
    A mercenary is hired to rescue his ex-girlfriend, a singer who has been kidnapped by a motorcycle gang.",action,"
Action Crime Drama            ",(1984),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0088194/
42,Kôkaku Kidôtai,"
    A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.",action,"
Animation Action Crime            ",(1995),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0113568/
43,Tower Heist,"
    When a group of hard-working guys find out they've fallen victim to their wealthy employer's Ponzi scheme, they conspire to rob his high-rise residence.",action,"
Action Comedy Crime            ",(2011),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0471042/
44,Transformers: Age of Extinction,"
    When humanity allies with a bounty hunter in pursuit of Optimus Prime, the Autobots turn to a mechanic and his family for help.",action,"
Action Adventure Sci-Fi            ",(2014),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt2109248/
45,Men in Black II,"
    Agent Jay is sent to find Agent Kay and restore his memory after the re-appearance of a case from Kay's past.",action,"
Action Adventure Comedy            ",(2002),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0120912/
46,Covert Affairs,"
    Fresh out of the farm, Annie Walker must adapt to the challenging life of a CIA operative under the guidance of her handler, Auggie. But soon she realizes her recruit might have to do with her last boyfriend rather than her talent.",action,"
Action Crime Drama            ",(2010–2014),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt1495708/
47,The Spirit,"
    Rookie cop Denny Colt returns from the beyond as The Spirit, a hero whose mission is to fight against the bad forces in Central City.",action,"
Action Crime Fantasy            ",(2008),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0831887/
48,Cold Skin,"
    A young man arrives at a remote island to take a post of weather observer only to find himself defending the watchtower from deadly creatures which live in the island shores.",action,"
Action Adventure Fantasy            ",(2017),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt1034385/
49,Shaft,"
    JJ Shaft, a cyber security expert with a degree from MIT, enlists his family's help to uncover the truth behind his best friend's untimely death.",action,"
Action Comedy Crime            ",(2019),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt4463894/
50,The Man in the Iron Mask,"
    The cruel King Louis XIV of France has a secret twin brother whom he keeps imprisoned. Can the twin be substituted for the real king?",action,"
Action Adventure Drama            ",(I) (1998),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0120744/
51,Voces,"
    Daniel and Sara have a 9-year-old son, Eric, and they've just moved to a new home not knowing the neighbours call it ""the house of the voices"". Eric is the first one to notice the odd noises behind each door.",action,"
Action Adventure Drama            ",(2020),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt11750282/
52,Bad Boys II,"
    Two loose-cannon narcotics cops investigate the flow of Ecstasy into Florida from a Cuban drug cartel.",action,"
Action Comedy Crime            ",(2003),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0172156/
53,She-Ra and the Princesses of Power,"
    She-Ra, Princess of Power, leads a rebellion to free her land of Etheria from the monstrous invaders the Horde.",action,"
Animation Action Adventure            ",(2018–2020),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt7745956/
54,The Bad Batch,"
    In a desert dystopia, a young woman is kidnapped by cannibals.",action,"
Action Horror Mystery            ",(2016),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt4334266/
55,Doom,"
    Space Marines are sent to investigate strange events at a research facility on Mars but find themselves at the mercy of genetically enhanced killing machines.",action,"
Action Horror Sci-Fi            ",(2005),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0419706/
56,Live Free or Die Hard,"
    John McClane and a young hacker join forces to take down master cyber-terrorist Thomas Gabriel in Washington D.C.",action,"
Action Thriller            ",(2007),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0337978/
57,Hellboy II: The Golden Army,"
    A prince of the mythical world starts a rebellion against humanity in order to rule the Earth, and Hellboy his team must fight to stop him from locating the all-powerful Golden Army.",action,"
Action Adventure Fantasy            ",(2008),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0411477/
58,Hitman: Agent 47,"
    An assassin teams up with a woman to help her find her father and uncover the mysteries of her ancestry.",action,"
Action Crime Thriller            ",(2015),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt2679042/
59,Clear and Present Danger,"
    CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.",action,"
Action Crime Drama            ",(1994),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0109444/
60,Blade: Trinity,"
    Blade, now a wanted man by the FBI, must join forces with the Nightstalkers to face his most challenging enemy yet: Dracula.",action,"
Action Adventure Fantasy            ",(2004),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0359013/
61,Sonic the Hedgehog 2,"
    Sequel to the 2020 live-action feature film 'Sonic the Hedgehog'.",action,"
Animation Action Adventure            ",(2022),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt12412888/
62,Beyond Skyline,"
    A tough-as-nails detective embarks on a relentless pursuit to free his son from a nightmarish alien warship.",action,"
Action Adventure Sci-Fi            ",(2017),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt1724970/
63,The Running Man,"
    In a dystopian America, a falsely convicted policeman gets his shot at freedom when he must forcibly participate in a TV game show where convicts, runners, must battle killers for their freedom.",action,"
Action Sci-Fi Thriller            ",(1987),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0093894/
64,Army of One,"
    Out hiking, Special Forces Brenner Baker stumbles onto a Cartel's compound. Her husband's killed and she's left for dead. The Cartel made two mistakes, killing her husband and leaving her alive. They won't live to make another.",action,"
Action            ",(2020),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt7153488/
65,Colombiana,"
    A young girl in Bogotá witnesses her parents' murder and grows up to be a stone-cold assassin.",action,"
Action Drama Thriller            ",(2011),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt1657507/
66,Spy Kids,"
    Using high tech gadgets, two kids have to save their reactivated OSS top spy parents when they're taken by an evil, high tech enemy.",action,"
Action Adventure Comedy            ",(2001),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0227538/
67,Last Action Hero,"
    With the help of a magic ticket, a young movie fan is transported into the fictional world of his favorite action movie character.",action,"
Action Adventure Comedy            ",(1993),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0107362/
68,Bonnie and Clyde,"
    Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",action,"
Action Biography Crime            ",(1967),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0061418/
69,Miss Congeniality,"
    An F.B.I. Agent must go undercover in the Miss United States beauty pageant to prevent a group from bombing the event.",action,"
Action Comedy Crime            ",(2000),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0212346/
70,La Reina del Sur,"
    Teresa Mendoza returns to Mexico after 8 years to fight with Mexican drug dealers.",action,"
Action Crime Drama            ",(2011–2019),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt1704637/
71,Lethal Weapon 2,"
    Riggs and Murtaugh are on the trail of South African diplomats who are using their immunity to engage in criminal activities.",action,"
Action Crime Thriller            ",(1989),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0097733/
72,Beowulf,"
    The warrior Beowulf must fight and defeat the monster Grendel, who is terrorizing Denmark, and later, Grendel's Mother, who begins killing out of revenge.",action,"
Animation Action Adventure            ",(2007),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0442933/
73,Blade II,"
    Blade forms an uneasy alliance with the vampire council in order to combat the Reapers, who are feeding on vampires.",action,"
Action Fantasy Horror            ",(2002),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0187738/
74,Jack Ryan: Shadow Recruit,"
    Jack Ryan, as a young covert C.I.A. analyst, uncovers a Russian plot to crash the U.S. economy with a terrorist attack.",action,"
Action Drama Thriller            ",(2014),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt1205537/
75,Spy Game,"
    Retiring CIA agent Nathan Muir recalls his training of Tom Bishop while working against agency politics to free him from his Chinese captors.",action,"
Action Crime Thriller            ",(2001),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0266987/
76,The Adventures of Tintin,"
    Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor.",action,"
Animation Action Adventure            ",(2011),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0983193/
77,Ran,"
    In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",action,"
Action Drama War            ",(1985),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0089881/
78,M.O.D.O.K.,"
    It centers around an egomaniacal supervillain with a really big head and a really little body, who struggles to maintain control of his evil organization and his demanding family.",action,"
Animation Action Comedy            ",(2021– ),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt9811118/
79,The Spiderwick Chronicles,"
    Upon moving into the run-down Spiderwick Estate with their mother, twin brothers Jared and Simon Grace, along with their sister Mallory, find themselves pulled into an alternate world full of faeries and other creatures.",action,"
Action Adventure Drama            ",(2008),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0416236/
80,Into the Blue,"
    A group of divers find themselves in deep trouble with a drug lord after they come upon the illicit cargo of a sunken airplane.",action,"
Action Adventure Crime            ",(2005),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0378109/
81,Haywire,"
    A black ops super soldier seeks payback after she is betrayed and set up during a mission.",action,"
Action Drama Thriller            ",(2011),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt1506999/
82,xXx: Return of Xander Cage,"
    Xander Cage is left for dead after an incident, though he secretly returns to action for a new, tough assignment with his handler Augustus Gibbons.",action,"
Action Adventure Thriller            ",(2017),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt1293847/
83,The Cloverfield Paradox,"
    Orbiting a planet on the brink of war, scientists test a device to solve an energy crisis, and end up face-to-face with a dark alternate reality.",action,"
Action Horror Sci-Fi            ",(2018),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt2548396/
84,Dirty Harry,"
    When a madman calling himself ""the Scorpio Killer"" menaces the city, tough-as-nails San Francisco Police Inspector ""Dirty"" Harry Callahan is assigned to track down and ferret out the crazed psychopath.",action,"
Action Crime Thriller            ",(1971),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0066999/
85,Suburra - La serie,"
    In 2008, a fight over land in a seaside town near Rome spirals into a deadly battle between organized crime, corrupt politicians and the Vatican.",action,"
Action Crime            ",(2017–2020),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt7197684/
86,The Outsider,"
    An epic set in post-WWII Japan and centered on an American former G.I. who joins the yakuza.",action,"
Action Crime Drama            ",(I) (2018),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt2011311/
87,The Librarians,"
    A group of librarians sets off on adventures in an effort to save mysterious, ancient artifacts.",action,"
Action Adventure Comedy            ",(2013–2018),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt3663490/
88,The Iron Giant,"
    A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.",action,"
Animation Action Adventure            ",(1999),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0129167/
89,The Eagle,"
    In Roman-ruled Britain, a young Roman soldier endeavors to honor his father's memory by finding his lost legion's golden emblem.",action,"
Action Adventure Drama            ",(2011),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt1034389/
90,Never Die Alone,"
    A drug kingpin's return home touches off a turf war.",action,"
Action Crime Drama            ",(2004),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0354766/
91,Batoru rowaiaru,"
    In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act.",action,"
Action Adventure Drama            ",(2000),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0266308/
92,Take Back,"
    Zara (Gillian White) and Brian (Michael Jai White) are living the perfect small town life when a mysterious stranger from Zara's secret past kidnaps their daughter and now they must race to save her life.",action,"
Action Thriller            ",(2021),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt11799110/
93,The Cannonball Run,"
    A wide variety of eccentric competitors participate in a wild and illegal cross-country road race. However, the eccentric entrants will do anything to win the road race, including low-down, dirty tricks.",action,"
Action Comedy Sport            ",(1981),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0082136/
94,Scouts Guide to the Zombie Apocalypse,"
    Three scouts, on the eve of their last camp-out, discover the true meaning of friendship when they attempt to save their town from a zombie outbreak.",action,"
Action Comedy Horror            ",(2015),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt1727776/
95,The Purge,"
    Set in an altered United States, several unrelated people discover how far they will go to survive a night where all crime is legal for 12 hours.",action,"
Action Drama Horror            ",(2018–2019),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt6110648/
96,Fool's Gold,"
    A new clue to the whereabouts of a lost treasure rekindles a married couple's sense of adventure -- and their estranged romance.",action,"
Action Adventure Comedy            ",(I) (2008),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0770752/
97,Anaconda,"
    A ""National Geographic"" film crew is taken hostage by an insane hunter, who forces them along on his quest to capture the world's largest - and deadliest - snake.",action,"
Action Adventure Horror            ",(1997),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0118615/
98,The Expendables 2,"
    Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat.",action,"
Action Adventure Thriller            ",(2012),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt1764651/
99,The Man with the Iron Fists,"
    On the hunt for a fabled treasure of gold, a band of warriors, assassins, and a rogue British soldier descend upon a village in feudal China, where a humble blacksmith looks to defend himself and his fellow villagers.",action,"
Action            ",(2012),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt1258972/
100,Silent Hill,"
    A woman, Rose, goes in search for her adopted daughter within the confines of a strange, desolate town called Silent Hill.",action,"
Action Adventure Fantasy            ",(2006),https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://imdb.com//title/tt0384537/
